Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
AEL,American Equity Investment Life,29.95,-1.76,2700501000,71.92%,17.67%,11.03%,100% Buy,NYSE,-1.38%,30.51,15.39,30.25
AEO,American Eagle Outfitters,13.73,-0.83,2466307000,-18.67%,8.24%,29.15%,67% Buy,NYSE,-1.44%,19,10.23,13.84
AEP,American Electric Power Company,72.91,-2.22,36381404000,14.97%,26.79%,9.85%,67% Buy,NYSE,-1.43%,74.59,57.89,73.82
AERI,Aerie Pharmaceutical,62.25,-0.56,2340296000,81.41%,155.35%,67.45%,100% Buy,NASDAQ,-3.34%,66.1,32.05,64.37
AES,The Aes Corp,10.74,-2.85,7256258000,-10.86%,-21.89%,14.10%,100% Sell,NYSE,-2.27%,12.48,10.6,11.04
AET,Aetna Inc,159.51,-0.06,53098540000,43.28%,94.01%,20.17%,67% Buy,NYSE,-0.36%,164.52,104.59,160.18
AFAM,Almost Family Inc,46,-0.38,645650000,11.66%,57.10%,27.26%,100% Sell,NASDAQ,-0.54%,62.95,36.75,46.47
AFG,American Financial Group,104.84,-1.29,9300193000,40.26%,76.60%,8.18%,67% Buy,NYSE,-0.78%,106.52,73.38,105.82
AFH,Atlas Fincl Hld Ord,20,0.22,236811000,16.83%,33.85%,25.35%,100% Buy,NASDAQ,0.76%,20.35,12.15,19.93
AFI,Armstrong Flooring Inc,15.45,-2.28,431114000,-7.46%,0.00%,18.61%,67% Sell,NYSE,-2.95%,22.96,13.55,15.95
AFL,Aflac Incorporated,83.59,-1.32,33420648000,20.30%,41.57%,11.14%,100% Buy,NYSE,-1.15%,85.24,66.5,84.45
AFSI,Amtrust Financial,12.35,-1.16,2490576000,-52.97%,-43.30%,40.39%,100% Sell,NASDAQ,-2.91%,28.48,11.36,12.98
AGCO,Agco Corp,69.85,-1.81,5687110000,35.27%,61.36%,19.20%,Hold,NYSE,-2.31%,75.58,48.93,71.51
AGEN,Agenus Inc,3.63,-0.73,372030000,-33.12%,25.17%,61.69%,Hold,NASDAQ,-2.68%,5.91,3.2,3.91
AGFS,Agrofresh Solutions,6.11,-2.54,318149000,26.29%,-34.98%,22.17%,100% Sell,NASDAQ,-3.32%,9.05,1.96,6.36
AGII,Argo Group Intl Hlds,64,0.62,1925946000,14.75%,14.52%,12.07%,100% Buy,NASDAQ,0.16%,69.03,54.4,63.92
AGIO,Agios Pharmaceutical,65.59,-1.27,3228097000,34.39%,-20.61%,23.36%,67% Buy,NASDAQ,-1.68%,72.73,39.24,66.61
AGM,Federal Agricultural Mortgage Corp,74.47,-0.74,795212000,76.06%,125.29%,17.34%,67% Buy,NYSE,-0.73%,77.78,39.09,74.94
AGN,Allergan Plc,178.95,-1.05,61151984000,-20.37%,-24.64%,29.39%,100% Sell,NYSE,-2.17%,256.8,178.35,184.7
AGNC,American Capital Age,21.25,-2.83,8380345000,5.30%,-4.93%,9.68%,Hold,NASDAQ,-1.71%,22.34,17.3,21.63
AGO,Assured Guaranty Ltd,36.49,-0.44,4393314000,21.90%,59.88%,21.73%,100% Sell,NYSE,-1.11%,45.73,29.37,36.74
AGR,Avangrid Inc,49.74,1,15295995000,29.91%,0.00%,12.76%,100% Buy,NYSE,0.48%,50.07,35.42,49.11
